TIMESPAN,MARKET_STATE,VOLUME
2023-08-28,Current Bear,5273613501
2023-07-17,Current Bear,5659661624
2023-05-29,Current Bear,4999362210
2023-05-22,Current Bear,5338510122
2023-05-15,Current Bear,5078083327
2023-05-08,Current Bear,9300490012
2023-04-24,Current Bear,8220719873
2023-04-17,Current Bear,10441830924
2023-04-10,Current Bear,9283794379
2023-01-30,Current Bear,9594357141
2022-09-05,Current Bear,8610486184
2022-08-22,Current Bear,9251343682
2022-08-29,Current Bear,9332679218
2022-02-21,Current Bear,17013030901
2021-12-20,Before Bear,14250027384
2022-09-19,Current Bear,7447596353
2022-10-31,Current Bear,9555873007
2022-05-23,Current Bear,10494698866
2022-05-16,Current Bear,10754193630
2021-08-30,Before Bear,13246726566
2021-09-27,Before Bear,10207315979
2022-03-07,Current Bear,10913908325
2022-04-25,Current Bear,13660377516
2022-06-13,Current Bear,19623935283
2022-12-26,Current Bear,3231441584
2022-10-17,Current Bear,5407440230
2022-09-12,Current Bear,9127753999
2022-11-07,Current Bear,24217872874
2022-02-28,Current Bear,13441486123
2022-12-19,Current Bear,3802807402
2021-09-13,Before Bear,10133788704
2021-10-11,Before Bear,13808122454
2022-08-01,Current Bear,8354429320
2022-10-03,Current Bear,5474942644
2021-10-25,Before Bear,18672424056
2019-10-21,Before Bear,8949968
2019-12-09,Before Bear,9199470
2020-01-20,Before Bear,13053286
2020-05-18,Before Bear,63270287
2020-08-31,Before Bear,5708151181
2020-09-21,Before Bear,2441304521
2020-11-02,Before Bear,2067412606
2020-12-07,Before Bear,2364300770
2021-01-25,Before Bear,6330677773
2020-08-24,Before Bear,1937363012
2021-05-31,Before Bear,10561642133
2021-08-09,Before Bear,11852104490
2022-07-25,Current Bear,10829963944
2023-03-20,Current Bear,13254476618
2022-03-28,Current Bear,14456601962
2022-08-15,Current Bear,10766125999
2022-01-17,Current Bear,21391991538
2022-11-21,Current Bear,7338466011
2023-01-02,Current Bear,3923823919
2022-02-14,Current Bear,13208015052
2023-03-06,Current Bear,26157440743
2021-12-27,Current Bear,1457259331
2022-12-12,Current Bear,7148556414
2021-10-04,Before Bear,11041053548
2019-10-07,Before Bear,1724522
2019-10-28,Before Bear,5849781
2019-12-30,Before Bear,7604961
2020-01-06,Before Bear,15286000
2020-01-13,Before Bear,19320574
2020-04-20,Before Bear,56562356
2020-04-27,Before Bear,64510162
2020-05-04,Before Bear,77491033
2020-05-11,Before Bear,65511742
2020-05-25,Before Bear,47716123
2020-06-01,Before Bear,52892508
2020-06-08,Before Bear,72077608
2020-06-15,Before Bear,285611330
2020-06-22,Before Bear,160621265
2020-07-13,Before Bear,281183513
2020-08-03,Before Bear,790340067
2020-11-09,Before Bear,1975663181
2021-01-04,Before Bear,6125916685
2021-03-08,Before Bear,7912266472
2021-03-15,Before Bear,7190167954
2021-04-12,Before Bear,9529807625
2020-02-24,Before Bear,36011226
2020-09-28,Before Bear,2594013513
2021-01-18,Before Bear,6222481498
2021-06-21,Before Bear,10656386261
2021-07-05,Before Bear,7989908906
2021-07-26,Before Bear,11117627758
2022-01-10,Current Bear,14579325960
2019-11-04,Before Bear,6853682
2019-11-18,Before Bear,21865873
2020-01-27,Before Bear,13987221
2020-06-29,Before Bear,134148116
2020-07-27,Before Bear,817023253
2020-11-16,Before Bear,2537859539
2020-11-23,Before Bear,2615751512
2020-12-21,Before Bear,3038927442
2021-05-10,Before Bear,22950211247
2021-02-15,Before Bear,8298264037
2023-09-18,Current Bear,3650792411
2023-09-11,Current Bear,4758578765
2023-09-04,Current Bear,3792359064
2023-07-10,Current Bear,6794509387
2023-06-26,Current Bear,7680112450
2023-08-21,Current Bear,4958526043
2023-07-24,Current Bear,4508800944
2023-07-31,Current Bear,4769065190
2023-08-07,Current Bear,4153241276
2023-07-03,Current Bear,5893865783
2023-06-12,Current Bear,5907082504
2023-05-01,Current Bear,10829991165
2022-03-14,Current Bear,12280302539
2022-11-14,Current Bear,8033950264
2022-06-06,Current Bear,11142297715
2022-07-04,Current Bear,7598486326
2023-02-13,Current Bear,13073020160
2022-10-10,Current Bear,6299193531
2023-01-23,Current Bear,9304006508
2022-02-07,Current Bear,14178781167
2021-11-29,Before Bear,26763451332
2021-11-15,Before Bear,20767678525
2022-11-28,Current Bear,5636723693
2022-06-27,Current Bear,7398731764
2023-03-13,Current Bear,20181185901
2022-08-08,Current Bear,10210037563
2021-11-08,Before Bear,20046887526
2022-10-24,Current Bear,10595686779
2023-01-09,Current Bear,9264181108
2022-07-11,Current Bear,8564186007
2022-04-18,Current Bear,10631486285
2022-09-26,Current Bear,7148488776
2022-05-02,Current Bear,14009999168
2021-11-22,Before Bear,22766984946
2021-10-18,Before Bear,15129531951
2021-11-01,Before Bear,16189136362
2022-04-11,Current Bear,12272703861
2022-01-31,Current Bear,12803292987
2019-10-14,Before Bear,5420825
2019-12-16,Before Bear,15507873
2019-12-23,Before Bear,14470504
2020-03-02,Before Bear,29449764
2020-04-06,Before Bear,21756758
2020-08-10,Before Bear,1598633787
2020-08-17,Before Bear,1531131989
2020-10-19,Before Bear,1578317767
2021-01-11,Before Bear,5710581177
2021-02-22,Before Bear,8626620623
2021-03-22,Before Bear,8657448492
2021-02-01,Before Bear,7597688942
2021-03-29,Before Bear,12328794123
2021-05-03,Before Bear,14368054309
2021-07-19,Before Bear,7830210151
2023-08-14,Current Bear,6325084752
2023-06-19,Current Bear,8086253038
2023-06-05,Current Bear,7591288047
2023-04-03,Current Bear,7456503204
2022-07-18,Current Bear,11316980091
2022-05-30,Current Bear,9168407785
2022-01-03,Current Bear,16603424717
2022-06-20,Current Bear,8990264132
2023-02-20,Current Bear,9986966203
2022-01-24,Current Bear,17844413916
2022-04-04,Current Bear,13489135646
2023-01-16,Current Bear,9544994170
2021-12-13,Before Bear,19628642451
2023-03-27,Current Bear,9233990448
2023-02-06,Current Bear,12427074965
2021-09-20,Before Bear,14399444257
2022-12-05,Current Bear,5196615240
2019-11-11,Before Bear,6840494
2019-12-02,Before Bear,17388111
2020-02-17,Before Bear,36699257
2020-03-16,Before Bear,48378281
2020-03-30,Before Bear,12637048
2020-04-13,Before Bear,41204081
2020-07-06,Before Bear,155382465
2020-09-14,Before Bear,3558775747
2020-10-05,Before Bear,2320502586
2020-10-12,Before Bear,1811594828
2020-12-14,Before Bear,3052490049
2020-12-28,Before Bear,4208294244
2021-02-08,Before Bear,7744810216
2021-04-19,Before Bear,10581095025
2020-03-09,Before Bear,114047498
2020-03-23,Before Bear,19461148
2021-03-01,Before Bear,6774788378
2021-04-26,Before Bear,9269395498
2021-05-17,Before Bear,25290945352
2021-06-14,Before Bear,8724088808
2021-06-28,Before Bear,11056275111
2021-07-12,Before Bear,7683727454
2021-08-02,Before Bear,13252658969
2021-08-16,Before Bear,12421807425
2022-03-21,Current Bear,11716835997
2021-12-27,Before Bear,11654236900
2022-05-09,Current Bear,25979926076
2021-09-06,Before Bear,14257309853
2023-02-27,Current Bear,8741150241
2021-12-06,Before Bear,22498647707
2019-11-25,Before Bear,17646071
2020-02-03,Before Bear,25887690
2020-07-20,Before Bear,559574144
2020-11-30,Before Bear,2403393614
2021-04-05,Before Bear,8412631198
2020-02-10,Before Bear,47064169
2020-09-07,Before Bear,2923887698
2020-10-26,Before Bear,4015300159
2021-05-24,Before Bear,16883783331
2021-06-07,Before Bear,10738339365
2021-08-23,Before Bear,11475539504
ï»¿