TIMESPAN,MARKET_STATE,ACTIVE_USERS
2020-05-18,Before Bear,242
2020-05-25,Before Bear,446
2020-06-01,Before Bear,848
2020-06-08,Before Bear,971
2020-06-15,Before Bear,1468
2020-06-22,Before Bear,2226
2020-06-29,Before Bear,2400
2020-07-06,Before Bear,2564
2020-07-13,Before Bear,3018
2020-07-20,Before Bear,5040
2020-07-27,Before Bear,5932
2020-08-03,Before Bear,7530
2020-08-10,Before Bear,10644
2020-08-17,Before Bear,11097
2020-08-24,Before Bear,11933
2020-08-31,Before Bear,14091
2020-09-07,Before Bear,11187
2020-09-14,Before Bear,12651
2020-09-21,Before Bear,12865
2020-09-28,Before Bear,13563
2020-10-05,Before Bear,13607
2020-10-12,Before Bear,11189
2020-10-19,Before Bear,10700
2020-10-26,Before Bear,12133
2020-11-02,Before Bear,10199
2020-11-09,Before Bear,9925
2020-11-16,Before Bear,11316
2020-11-23,Before Bear,9356
2020-11-30,Before Bear,11170
2020-12-07,Before Bear,13536
2020-12-14,Before Bear,11879
2020-12-21,Before Bear,10957
2020-12-28,Before Bear,10403
2021-01-04,Before Bear,7732
2021-01-11,Before Bear,8462
2021-01-18,Before Bear,10984
2021-01-25,Before Bear,11328
2021-02-01,Before Bear,13006
2021-02-08,Before Bear,13306
2021-02-15,Before Bear,11405
2021-02-22,Before Bear,8049
2021-03-01,Before Bear,9787
2021-03-08,Before Bear,12293
2021-03-15,Before Bear,12727
2021-03-22,Before Bear,12525
2021-03-29,Before Bear,11828
2021-04-05,Before Bear,10137
2021-04-12,Before Bear,9577
2021-04-19,Before Bear,11433
2021-04-26,Before Bear,12258
2021-05-03,Before Bear,10658
2021-05-10,Before Bear,15842
2021-05-17,Before Bear,10813
2021-05-24,Before Bear,10823
2021-05-31,Before Bear,12115
2021-06-07,Before Bear,11908
2021-06-14,Before Bear,10472
2021-06-21,Before Bear,8639
2021-06-28,Before Bear,9679
2021-07-05,Before Bear,7476
2021-07-12,Before Bear,7848
2021-07-19,Before Bear,7651
2021-07-26,Before Bear,9037
2021-08-02,Before Bear,7697
2021-08-09,Before Bear,6151
2021-08-16,Before Bear,6709
2021-08-23,Before Bear,5475
2021-08-30,Before Bear,4315
2021-09-06,Before Bear,4258
2021-09-13,Before Bear,4914
2021-09-20,Before Bear,4789
2021-09-27,Before Bear,4820
2021-10-04,Before Bear,4599
2021-10-11,Before Bear,6088
2021-10-18,Before Bear,7545
2021-10-25,Before Bear,11031
2021-11-01,Before Bear,9878
2021-11-08,Before Bear,10055
2021-11-15,Before Bear,8124
2021-11-22,Before Bear,6893
2021-11-29,Before Bear,5716
2021-12-06,Before Bear,5744
2021-12-13,Before Bear,5397
2021-12-20,Before Bear,6228
2021-12-27,Before Bear,7323
2022-01-03,Current Bear,5702
2022-01-10,Current Bear,6105
2022-01-17,Current Bear,5996
2022-01-24,Current Bear,6185
2022-01-31,Current Bear,6600
2022-02-07,Current Bear,7463
2022-02-14,Current Bear,7130
2022-02-21,Current Bear,5884
2022-02-28,Current Bear,6860
2022-03-07,Current Bear,6553
2022-03-14,Current Bear,6724
2022-03-21,Current Bear,7423
2022-03-28,Current Bear,9112
2022-04-04,Current Bear,7466
2022-04-11,Current Bear,7317
2022-04-18,Current Bear,7643
2022-04-25,Current Bear,8322
2022-05-02,Current Bear,6399
2022-05-09,Current Bear,6360
2022-05-16,Current Bear,6278
2022-05-23,Current Bear,6409
2022-05-30,Current Bear,6614
2022-06-06,Current Bear,7224
2022-06-13,Current Bear,7821
2022-06-20,Current Bear,7087
2022-06-27,Current Bear,6703
2022-07-04,Current Bear,7683
2022-07-11,Current Bear,8548
2022-07-18,Current Bear,9227
2022-07-25,Current Bear,9482
2022-08-01,Current Bear,9604
2022-08-08,Current Bear,10715
2022-08-15,Current Bear,10654
2022-08-22,Current Bear,10280
2022-08-29,Current Bear,9747
2022-09-05,Current Bear,11997
2022-09-12,Current Bear,9815
2022-09-19,Current Bear,10767
2022-09-26,Current Bear,12263
2022-10-03,Current Bear,12277
2022-10-10,Current Bear,11282
2022-10-17,Current Bear,13847
2022-10-24,Current Bear,14479
2022-10-31,Current Bear,14839
2022-11-07,Current Bear,13521
2022-11-14,Current Bear,11645
2022-11-21,Current Bear,10528
2022-11-28,Current Bear,10765
2022-12-05,Current Bear,11964
2022-12-12,Current Bear,11995
2022-12-19,Current Bear,12640
2022-12-26,Current Bear,9445
2023-01-02,Current Bear,11966
2023-01-09,Current Bear,12745
2023-01-16,Current Bear,11704
2023-01-23,Current Bear,11929
2023-01-30,Current Bear,15402
2023-02-06,Current Bear,15431
2023-02-13,Current Bear,14681
2023-02-20,Current Bear,16773
2023-02-27,Current Bear,14115
2023-03-06,Current Bear,13772
2023-03-13,Current Bear,14659
2023-03-20,Current Bear,15415
2023-03-27,Current Bear,14808
2023-04-03,Current Bear,13676
2023-04-10,Current Bear,13900
2023-04-17,Current Bear,22518
2023-04-24,Current Bear,20016
2023-05-01,Current Bear,36356
2023-05-08,Current Bear,28187
2023-05-15,Current Bear,23283
2023-05-22,Current Bear,24128
2023-05-29,Current Bear,21162
2023-06-05,Current Bear,18692
2023-06-12,Current Bear,17230
2023-06-19,Current Bear,17525
2023-06-26,Current Bear,19673
2023-07-03,Current Bear,19786
2023-07-10,Current Bear,23261
2023-07-17,Current Bear,25759
2023-07-24,Current Bear,28354
2023-07-31,Current Bear,23824
2023-08-07,Current Bear,24054
2023-08-14,Current Bear,24974
2023-08-21,Current Bear,23566
2023-08-28,Current Bear,21921
2023-09-04,Current Bear,21000
2023-09-11,Current Bear,19365
2023-09-18,Current Bear,18073
ï»¿